OutputNumber	Committee	Output	Tags1	Tags2	Tags3	Tags4	Tags5	Tags6	Tags7	Tags8	Tags9	Tags10	Tags11	Tags12	Tags13	Tags14	Tags15	Tags16	Tags17	Tags18	Tags19	Tags20	Tags21	Tags22	Tags23	Tags24	Tags25	Tags26	Tags27	Tags28	Tags29	Tags30	Tags31	Tags32	Tags33	Tags34	Tags35	Tags36	Tags37	Tags38	Tags39	Tags40	Tags41	Tags42	GDFramework
1	CC	Global Forum on Competition session on "Dynamic Issues in Merger Control"					Competition 																																						Market Openness
2	CC	Global Forum Competition session on "Competition for the Market"					Competition 																																						Market Openness
3	CC	Adapted Competition Assessment Toolkit for Digital Markets					Competition 																																						Market Openness
4	CCP	Consumer Experiment on Personalised Pricing						Consumer protection																																					Trust
5	CCP	Feasibility Study on Measuring Consumer Harm and the Effects of Consumer Policy						Consumer protection																																					Trust
6	CCP	Summary of CCP's Roundtable on Digital Assistants and Voice-controlled E-commerce						Consumer protection																											Trade										Trust
7	CCP	Summary of CCP's Roundtable on Digital Assistants and Voice-controlled E-commerce						Consumer protection																											Trade										Market Openness
7	CCP	Online Ratings and Reviews						Consumer protection																																					Trust
8	CCP	Good Practice Guide on Online Ratings and Reviews						Consumer protection																																					Trust
9	CCP	Good Practice Guide on Consumer Data						Consumer protection		Data and data flows																																			Trust
10	CCP	Online Product Safety						Consumer protection																																					Trust
11	CCP	Policy implications of AI on product safety						Consumer protection																																					Trust
12	CDEP	Follow up work on the social and economic impacts of online platforms			Business models 		Competition 																		Platforms 																				Society
13	CDEP	Follow up work on the social and economic impacts of online platforms			Business models 		Competition 																		Platforms 																				Trust
13	CDEP	Follow up work on the social and economic impacts of online platforms			Business models 		Competition 																		Platforms 																				Market Openness
13	CDEP	The Future of the Firm			Business models 																	Intangibles 			Platforms 			Productivity																	Use
14	CDEP	The Future of the Firm			Business models 																	Intangibles 			Platforms 			Productivity																	Innovation
14	CDEP	AI Policy Observatory	Artificial intelligence 							Data and data flows											Innovation			Measurement 			Privacy 				Skills							Work							
15	CDEP	Going Digital Toolkit	Artificial intelligence 	Blockchain	Business models 	Communications infrastructure and services	Competition 	Consumer protection	Country, regional and city studies	Data and data flows	Development 	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets 	Gender 	Health	Innovation	Intangibles 	Internet of Things 	Measurement 	Platforms 	Policy design and implementation	Privacy 	Productivity	Public and corporate  governance 	Science 	Skills	SMEs	Taxation	Technology Diffusion	Trade	Transport	Well-being	Work							Market Openness
16	CDEP	Going Digital Toolkit	Artificial intelligence 	Blockchain	Business models 	Communications infrastructure and services	Competition 	Consumer protection	Country, regional and city studies	Data and data flows	Development 	Digital government	Digital security	Education	Energy	Entrepreneurship	Environment	Financial markets 	Gender 	Health	Innovation	Intangibles 	Internet of Things 	Measurement 	Platforms 	Policy design and implementation	Privacy 	Productivity	Public and corporate  governance 	Science 	Skills	SMEs	Taxation	Technology Diffusion	Trade	Transport	Well-being	Work							Access
